--- 0x89702330..0x89702E24  159 noms ---
  0x89704830  CONCUSSION
  0x8970483C  DEAD_LEG_CALF
  0x8970484C  TORN_HIP_FLEXOR
  0x8970485C  TORN_GROIN
  0x89704868  TORN_HAM
  0x89704874  TORN_QUAD
  0x89704880  TORN_CALF
  0x8970488C  PULLED_HIP_FLEXOR
  0x897048A0  PULLED_GROIN
  0x897048B0  PULLED_HAM
  0x897048BC  PULLED_QUAD
  0x897048C8  PULLED_CALF
  0x897048D4  MATCH_FIT
  0x897048E0  TRAINING
  0x897048EC  STRENGTHENING
  0x897048FC  PHYSIOTHERAPY
  0x8970490C  RECOVERY
  0x89704918  HOSPITALIZED
--- 0x897049CC..0x89704D64  77 noms ---
  0x897049CC  ZH_CN
  0x897049D4  SWE_SE
  0x897049DC  SPA_MX
  0x897049E4  SPA_ES
  0x897049EC  RUS_RU
  0x897049F4  POR_PT
  0x897049FC  POR_BR
  0x89704A04  POL_PL
  0x89704A0C  NOR_NO
  0x89704A14  KO_KR
  0x89704A1C  JPN_JP
  0x89704A24  ITA_IT
  0x89704A2C  HUN_HU
  0x89704A34  GER_DE
  0x89704A3C  FRE_FR
  0x89704A44  DUT_NL
  0x89704A4C  DAN_DK
  0x89704A54  CZE_CZ
  0x89704A5C  ARA_SA
  0x89704A64  ENG_US
  0x89704A6C  stats_skillLevel
  0x89704A80  stats_dnf
  0x89704A8C  VPROHACKATTR
  0x89704A9C  VPROHACKREASON
  0x89704AAC  VProRating
  0x89704AB8  VProStyle
  0x89704AC4  VProPos
  0x89704ACC  VProOverall
  0x89704AD8  VProNationality
  0x89704AE8  VProName
  0x89704AF4  VProHeight
  0x89704B00  saves
  0x89704B08  goalsConceded
  0x89704B18  yellowCards
  0x89704B24  redCards
  0x89704B30  tacklesMade
  0x89704B3C  tackleAttempts
  0x89704B4C  shotsOnGoal
  0x89704B58  shotsAgainstOnGoal
  0x89704B6C  shotsAgainst
  0x89704B7C  shots
  0x89704B84  result
  0x89704B8C  possession
